genre,description
 horror ," When six friends fly off on a weekend getaway and are suddenly plagued by engine trouble, they're forced to land on a remote island. Looking for shelter, they're grateful to encounter Ma and Pa and their children - an eccentric family living in the island's backwoods. But what begins as simple hospitality turns into a terrifying race for survival as the friends start disappearing one by one ... and turning up dead."
 horror ," The story is about a young girl who was touch by a spirit and caused her death. Trying to find the key to the mysterious death and help the victim's family, Alma goes to the cemetery to the victim's tomb. On site, she finds a young girl asking for help so Alma proposes herself to do so. This girl finds herself to be the spirit causing all the death. Alma tries to escape but feeling dizzy, faints and dies on her way."
 romance ," A young woman named Anna has always longed for love, but after one failed relationship after another, it seemed she'd never find it. Until one day, she meets a young man named Sam. Anna and Sam fall head over heels for each other, and yet, there is something very odd about their relationship."
 horror , A London couple moves to a large country house for a fresh start after the death of their young son. Their attempts to put the tragedy behind them are stymied when their surviving child keeps insisting that she sees and plays with her brother.
 horror ," In a small college in North Carolina, only a select few students are left to take mid terms. But, when a killer strikes, it could be everyone's final exam."
 romance , The story evolves between Keung and Bao who are in their 10th years marriage. It followed by relationship with their own families and friends. They had numerous disagreements and conflicts which leading to divorce state. Are they willing to give each other a chance to be together ?
 romance ," ""Between the Cup and the Lip"" is a beautiful polish turn century drama, which is basen on Maria Rodziewiczowna's novel. The action takes place in Berlin, where we meet Count Wentzel, who falls for a beautiful unknown lady. Since then he tries to get close to her, but as we know, a lot of things can happen 'between the cup and the lip'."
 horror ," An exploration of what happens when human curiosity and animal rage collide. This low-budget, high-concept thriller presents a different kind of antagonist, and the same well-meaning-but-doomed kids you love to cheer for as they meet their grisly ends."
 romance ," The younger of two sibling executives has usurped the power of his elder brother. Fearing retribution from this action, he plans to strike before being stricken, causing many around him to flee lest they soon meet untimely ends, hiding out in the industrial wastelands and abandoned waterfront territories. Orlando is one such displaced runaway, an angst-ridden youth due to an elder brother, Oliver, who has the family fortune and plots harm against him. Before fleeing, Orlando meets and falls for the usurping executive's niece, Rosalind. Soon after, Rosiland must go into hiding as well, but disguised as a boy named Ganymede for protection. In the wastes Orlando and ""Ganymede"" meet up, but in that Orlando doesn't recognize her, Rosalind/Ganymede maneuvers him into taking lessons from her/him by which to purge him of (test) his romantic folly. Among the newly homeless people, these are not the only two entering the trials of love and wooing."
 horror ," Jack Lawrence was just a normal police officer. Until one day his barely legal daughter was taken by the sorcerer, Keenan cuntmuncher. Now Jack must embark on a quest with the help of his companions, dicky and titty, to save the poon of his beloved daughter before that poon becomes worn out."
 horror ," In a fictional Central European country democracy and freedom are only illusion, because behind polished surface there's many cases of murders and manipulations with the people. Police and city authorities are helpless when it comes to revealing the evil and culprits behind it. In the center of this story is the writer Ivan Gajski, whose friend died under sketchy circumstances. Gajski reveals that those who most advocate democracy are not only the same involved in these crimes, but they also did some of the murders as a part of TV production. Gajski meets all kinds of characters through this quest of his, including the woman of his wife Sara, and professor Boskovic who discovers the origins of present Evil - the dark past of European continent."
 horror ," When Toni Daniels, an ambitious student reporter, goes in search of an exciting story, she discovers the dark secrets of Tambers College. Three beautiful coeds have disappeared, leaving behind some bizarre clues. Are the disappearances somehow related to the fraternity rituals of Rush Week? Are they lined to the tragic death of the dean's daughter? Skeletons pop up from every closet and veiled threats fly as Toni follows the twisting trail of clues that leads to an intense and shocking surprise ending."
 romance ," Long is a young dentist living the simple life, focused on making a decent living during a time of economic growth in Vietnam. His parents, Mr. Quoc and Mrs. Chi want him to settle down and produce offspring, but he has yet to find the time to meet an ideal mate. Until one day he meets Van Tram, a spirited and passionate actress who walks into his dental office. His once mundane life fills with excitement, anxiety, and heartache. Their courtship thrusts him into the turbo-charged and chaotic world of Vietnamese TV production where he meets intriguing characters who produce these instant noodle dramas. Life imitates art as Long finds himself entrenched in his own instant noodle way of life. Dealing with a breakup, an abortion, and the death of a family member, Long realizes what is truly important in life: love, happiness, and the fleeting moments you share with your loved ones."
 romance ," After 3 years in a relationship with her now indifferent but well-off boyfriend X, a young girl named Y is ready to call it quits. X reacts by proposing marriage to Y in 3 months time. She desperately wants to leave her mother's house and accepts X's proposal. The next day Y meets Z at her ""while I get married elementary school"" job. As Z naively begins to court Y, a steamy affair quickly develops between them. Y's emotionally and financially desperate double-nature manifests itself when she is unable to choose between X and Z. As the wedding day approaches, true love and monetary security clash in modern day Latin America."
 horror ," In Paris, the former priest Mathis Vogel writes pornography for a magazine. When the deranged priest watches an erotic show based on a Black Mass, he believes that the cast and audience are possessed and he goes on a murder spree to exorcise the demons of his victims."
 horror ," Captured Hearts, an insane serial killer/horror film, is a heart-jumping, heart-crushing - truly demented - roller coaster ride of mystery, violence, sex and gore. With a raging, climatic twist, all hearts end up in one place. And it's not where they're supposed to be."
